PropID,Boro,Community Board,Council District,Garden Name,Address,Size,Jurisdiction,NeighborhoodName,Cross Streets,Latitude,Longitude,Postcode,Census Tract,BIN,BBL,NTA,gardenKey
,X,X06,15.0,Belmont Little Farmers,2483 Belmont Avenue,0.1,TPL,Belmont,E. 189th Street & E. Fordam Rd.,40.856921,-73.884462,10458.0,389.0,,,Belmont,42500044
B444,B,B01,34.0,Berry Street Garden,301-303 Berry Street,0.13699999999999998,DPR,Williamsburg,Active,40.713449,-73.963827,11249.0,551.0,3000000.0,3024170004.0,North Side-South Side,42500045
,X,X04,,Bettes Rose Garden,Teller Avenue,,NYRP,,E 164th & E 165th,,,,,,,,42500046
B446,B,B05,42.0,Big Red Garden,436 Van Siclen Avenue,0.043,DPR,East New York,Active,40.669128,-73.889416,11207.0,1160.0,3000000.0,3040410052.0,East New York,42500047
,X,X12,18.0,Bissel Gardens,in Bissel Street,0.08,MTA,,from Barnes to Baychester Avenues,,,,,,,,42500048
,M,M11,,Black Veterans For Social Justice,22 East 119th Street,,HRA,East Harlem,5th & Madison Avenues,40.802263,-73.944274,10035.0,184.0,1076434.0,1017450005.0,East Harlem North,42500049
Q487,Q,Q12,28.0,Block Association #81,Inwood Street,0.115,DPR,Jamaica,Active,,,,,,,,42500050
M333,M,M10,7.0,Bradhurst Avenue Tenants Association,Bradhurst Avenue,0.092,DPR,Hamilton Heights,Active,,,,,,,,42500051
,B,B02,,Bridge Plaza Community Garden,Bridge St,,NYRP,,Corner of Bridge St & Concord St,,,,,,,,42500052
,B,B02,,Bridge Plaza Court,Bridge Plaza Court,,DPR/DOT,,Concord St & Nassau St,,,,,,,,42500053
M334,M,M03,2.0,Brisas Del Caribe,237 E 3rd Street,0.06,DPR,East Village,Active,40.722296,-73.98204799999999,10009.0,2601.0,1000000.0,1003860052.0,Lower East Side,42500054
X246,X,X01,,Brook Park,494 East 141st Street,,DPR,,Active,40.809829,-73.918667,10454.0,39.0,2000000.0,2022850042.0,Mott Haven-Port Morris,42500055
